6-Straight 4 2 11111111111111,75
6-Straight 3 2 111111111111111,74
6-Straight 5 4 2 111111111,74
4-Straight 5 3 111111111111,74
11-Straight 4 3 2 11111111111,73
10-Straight 333 22 1111111,73
4-Straight 5 2 1111111111111,73
55 22 111111,73
12-Straight 4 222 1111111111,73
5-Straight 5 4 3 2 111111,72
12-Straight 4 22 111111111111,72
444 2 111111,71
5-Straight 3 2 111111111111111,71
4-Straight 44 33 111111,71
5-Straight 5 33 111111111,70
12-Straight 33 222 11111111,69
8-Straight 3 2222222 111,69
4 333 222 1,68
5-Straight 6 3 222 11111,68
4-Straight 6 33 2 111111,68
12-Straight 3 22222 1111111,68
5 4 3 222 11,67
33333 11111,67
8-Straight 44 2 1111111111,67
5-Straight 222222222 11,66
9-Straight 333 222 11111,66
11-Straight 4 3 22 111111111,65
5-Straight 5 2 1111111111111,65
7-Straight 6 222 11111111,65
11-Straight 4 2222 11111111,64
9-Straight 33 22222 1111,64
11-Straight 2222222 111111,63
6-Straight 33 11111111111111,63
7-Straight 3 2 111111111111111,62
8-Straight 5 3 222 111111,61
7-Straight 4 2 11111111111111,61
9-Straight 4 3 2222 11111,60
7-Straight 44 3 2 1111111,60
4-Straight 6 22222 1111,60
6-Straight 6 22 1111111111,60
9-Straight 5 2222 1111111,60
7-Straight 6 22 1111111111,60
7-Straight 4 3 1111111111111,59
14-Straight 22222 1111111111,59
5 22 11111111111,58
5 333 111111,57
5-Straight 5 3 111111111111,57
6-Straight 5 2 1111111111111,57
9-Straight 5 3 2 1111111111,56
5-Straight 4 333 22 111,56
8-Straight 3 2 111111111111111,55
4-Straight 3 22222222 1,55
4-Straight 5 3 22222 11,55
7-Straight 4 3 22222 111,55
6-Straight 6 2222 111111,55
6-Straight 6 3 22 1111111,54
10-Straight 4 22222 111111,54
6-Straight 44 2222 1111,54
8-Straight 4 222222 1111,53
7-Straight 3333 11111111,53
15-Straight 2222 111111111111,53
10-Straight 5 22 11111111111,53
7 222 1111111,52
6-Straight 6 3 2 111111111,52
6-Straight 44 3 111111111,51
7-Straight 5 2 1111111111111,51
7-Straight 5 4 22 1111111,51
15-Straight 222 11111111111111,50
6 22 1111111111,50
444 22 1111,49
5-Straight 4 2222222 11,49
5-Straight 5 222222 111,49
9-Straight 333 11111111111,48
4-Straight 4 3 222222 1,48
5 4 33 11111,48
4-Straight 333 22222 1,48
10-Straight 5 222 111111111,48
4-Straight 33333 11111,48
4 3333 1111,47
9-Straight 22222222 1111,47
13-Straight 222222 11111111,47
6 4 3 2 11111,47
6-Straight 5 33 111111111,47
8-Straight 4 2 11111111111111,46
9-Straight 3 2 111111111111111,46
5-Straight 5 33 222 111,46
13-Straight 33 22 1111111111,46
4-Straight 7 222 1111111,45
6-Straight 5 4 222 11111,45
8-Straight 33 11111111111111,45
4-Straight 5 4 2222 111,45
6 4 222 1111,44
7-Straight 5 33 2 1111111,44
8-Straight 4 3 1111111111111,44
10-Straight 3 2 111111111111111,44
333 11111111111,43
10-Straight 4 2 11111111111111,43
7 3 22 111111,43
9-Straight 4 33 22 111111,42
5-Straight 44 3 222 111,42
7-Straight 44 3 22 11111,41
6-Straight 5 3 111111111111,41
4-Straight 6 4 2 11111111,40
9-Straight 5 3 22 11111111,40
7-Straight 33 11111111111111,40
4-Straight 6 4 22 111111,40
5-Straight 3 22222222 1,39
5 333 22 11,39
12-Straight 3 2 111111111111111,39
5 33 2222 1,39
